Application_ID,Candidate_ID,Job_ID,Application_Date,Final_Status,Additional_Remarks
APP-0001,CC - 001,J001,3-May-25,Rejected,"The candidates current salary package exceeds the offered range, and after evaluation, the panel concluded that the candidate does not fully meet the suitability criteria for the role."
APP-0002,CC - 002,J001,29-Apr-25,Rejected, 
APP-0003,CC - 003,J001,30-Apr-25,Rejected,Amber Category
APP-0004,CC - 004,J001,9-May-25,Hired but Left, 
APP-0005,CC - 005,J001,11-May-25,Hired but Left,Left Training due to her new job 
APP-0006,CC - 006,J001,11-May-25,Rejected,Contacted twice havent got any response
APP-0007,CC - 007,J001,11-May-25,Rejected,Not showed up in the interview despite contacting
APP-0008,CC - 008,J001,11-May-25,No Response,No Response Upon Contacting
APP-0009,CC - 009,J001,11-May-25,No Response,No Response Upon Contacting
APP-0010,CC - 010,J001,11-May-25,No Response,No Response Upon Contacting
APP-0011,CC - 011,J001,11-May-25,No Response,No Response Upon Contacting
APP-0012,CC - 012,J001,11-May-25,No Response,No Response Upon Contacting
APP-0013,CC - 013,J001,11-May-25,Rejected,Didnt showed up for the interview despited confirming on phone.
APP-0014,CC - 014,J001,11-May-25,No Response,No Response Upon Contacting
APP-0015,CC - 015,J001,11-May-25,No Response,No Response Upon Contacting
APP-0016,CC - 016,J001,11-May-25,Hired, 
APP-0017,CC - 017,J001,11-May-25,Hired, 
APP-0018,CC - 018,J001,11-May-25,No Response, 
APP-0019,CC - 019,J001,11-May-25,Hired but Left, 
APP-0020,CC - 020,J001,11-May-25,Rejected,"She has been asked twice to conduct the english languange test, she havent responded on that, the Hr called for the interview but she didnt showed up on that as well."
APP-0021,CC - 021,J001,11-May-25,No Response, 
APP-0022,CC - 022,J001,11-May-25,Rejected,Amber Category
APP-0023,CC - 023,J001,11-May-25,No Response, 
APP-0024,CC - 024,J001,11-May-25,No Response, 
APP-0025,CC - 025,J001,11-May-25,Rejected,Didnt showed up for the interview despited confirming on phone.
APP-0026,CC - 026,J001,12-May-25,Hired but Left,Passed by Grace Marks( Left Training due to Internet issue in her region)
APP-0027,CC - 027,J001,12-May-25,No Response, 
APP-0028,CC - 028,J001,15-May-25,Hired but Left, 
APP-0029,CC - 029,J001,15-May-25,Hired, 
APP-0030,CC - 030,J001, ,Hired but Left, 
APP-0031,CC - 031,J001,15-May-25,Hired, 
APP-0032,CC - 032,J001,15-May-25,Hired but Left,Hired but left trainig due to not having an updated laptop
APP-0033,CC - 033,J001,15-May-25,Rejected,Rejected
APP-0034,CC - 034,J001,15-May-25,Rejected,Will have to go for second round of interview with the OP Manger
APP-0035,CC - 035,J001,15-May-25,Rejected,Not valid Email Address + no response upon contacting
APP-0036,CC - 036,J001,15-May-25,No Response, 
APP-0037,CC - 037,J001,15-May-25,No Response, 
APP-0038,CC - 038,J001,15-May-25,No Response, 
APP-0039,CC - 039,J001,17-May-25,Rejected, 
APP-0040,CC - 040,J001,17-May-25,Hired, 
APP-0041,CC - 041,J001,17-May-25,Rejected, 
APP-0042,CC - 042,J001,17-May-25,Hired, 
APP-0043,CC - 043,J001,17-May-25,Hired but Left, 
APP-0044,CC - 044,J001,17-May-25,Rejected,Not valid Email Address
APP-0045,CC - 045,J001,17-May-25,Rejected,"Candidate reported recurring internet outages in their region, potentially impacting remote work."
APP-0046,CC - 046,J001,17-May-25,Hired but Left, 
APP-0047,CC - 047,J001,19-May-25,Hired but Left,Refree : Maryam
APP-0048,CC - 048,J001,19-May-25,Rejected,An LLB student dosent fit for the job role
APP-0049,CC - 049,J001,21-May-25,No Response,No response
APP-0050,CC - 050,J001,21-May-25,No Response,No response
APP-0051,CC - 051,J001,21-May-25,No Response,No response
APP-0052,CC - 052,J001,21-May-25,No Response,No response
APP-0053,CC - 053,J001,21-May-25,No Response,No response
APP-0054,CC - 054,J001,21-May-25,No Response,No response
APP-0055,CC - 055,J001,21-May-25,No Response,No response
APP-0056,CC - 056,J001,21-May-25,No Response,No response
APP-0057,CC - 057,J001,22-May-25,Rejected,The candidate informed HR of their decision to decline the offer and requested to be removed from consideration.
APP-0058,CC - 058,J001,22-May-25,Rejected,"Upon Contacting He asked to cancel his name from the list, not intersted in the job role"
APP-0059,CC - 059,J001,22-May-25,Hired but Left, 
APP-0060,CC - 060,J001,22-May-25,Hired, 
APP-0061,CC - 061,J001,22-May-25,No Response, 
APP-0062,CC - 062,J001,22-May-25,Hired,"Candidate is currently unavailable to join until November, citing commitments to ongoing Pharm D examinations and studies."
APP-0063,CC - 063,J001,noor,Hired, 
APP-0064,CC - 064,J001, ,Rejected,He Didnt Shown up for the interview 
APP-0065,CC - 065,J001, ,Hired but Left,Didnt showed up for the interview session
APP-0066,CC - 066,J001, ,Rejected,Didnt showed up for the interview session
APP-0067,CC - 067,J001, ,Rejected,Didnt showed up for the interview session
APP-0068,CC - 068,J001, ,Rejected,Didnt showed up for the interview session
APP-0069,CC - 069,J001, ,Rejected,"He was not fit for the role plus the salary Pakage we are offering, he is not willing to work on that"
APP-0070,CC - 070,J001, ,Rejected,"Candidate is seeking part-time employment, currently holding a full-time position in a private firm."
APP-0071,CC - 071,J001, ,Rejected,Need to shedule a second round of interview for him with the OP Manager
APP-0072,CC - 072,J001, ,Rejected,She was not qualified for the clinical coder role as per the panel decission.
APP-0073,CC - 073,J001,4-Jun-25,Hired but Left, 
APP-0074,CC - 074,J001, ,Rejected,"She is Under 18, not eligible for the role "
APP-0075,CC - 075,J001, ,Rejected,"The candidate wants a part time role, cannot work with us full-time."
APP-0076,CC - 076,J001,11-Apr-25,Rejected,"Successfully interviewed. However, candidate subsequently indicated unavailability for full-time work."
APP-0077,CC - 077,J001, ,Rejected,Already Sacked by previous HR
APP-0078,CC - 078,J001, ,Rejected,GMC registered doctor willing to work on part time basis only
APP-0079,CC - 079,J001, ,Rejected,Rejected (part - timer)
